,significance,ra,dec,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,EBV_FLAG,DECALS_FOOT,DELVE_FOOT,pmra,pmdec,names,edr3,RR_LYRAE,SGR,LMC,NSTARS,MAG_AVG
675,9.578418732,201.4860298,52.18928768,110.7718848,64.11663465,FALSE,TRUE,FALSE,TRUE,FALSE,-2.440418066,-3.703539263,DEC_51.0_52.0/DEC_51.8_RA_200.5,0,FALSE,FALSE,FALSE,6,19.38911117
676,9.575885773,0.174139232,14.10730842,104.7476187,-46.96501999,FALSE,TRUE,FALSE,TRUE,FALSE,0.905230836,-2.143969064,DEC_14.0_15.0/DEC_14.5_RA_0.0,0,FALSE,FALSE,FALSE,11,19.56193082
677,9.57460022,350.63221,-23.49327491,38.25508603,-69.60885902,FALSE,TRUE,FALSE,FALSE,FALSE,0.670263046,0.046317149,DEC_-24.0_-23.0/DEC_-23.9_RA_350.4,0,FALSE,FALSE,FALSE,5,18.9672044
678,9.572489738,169.8014945,-32.43593321,281.2506556,26.52339823,FALSE,FALSE,FALSE,FALSE,TRUE,-2.277652542,-0.811809352,DEC_-32.0_-31.0/DEC_-31.7_RA_169.3,0,FALSE,FALSE,FALSE,16,19.84955613
679,9.571933746,64.36062398,-14.74770075,209.307495,-40.68061756,FALSE,TRUE,FALSE,TRUE,FALSE,0.204547712,0.064486698,DEC_-16.0_-15.0/DEC_-15.1_RA_63.7,0,FALSE,FALSE,FALSE,12,19.53957667
680,9.570906639,310.5724756,76.1365442,109.8779445,20.09213849,FALSE,TRUE,TRUE,FALSE,FALSE,-3.365908054,-1.797116318,DEC_77.0_78.0/DEC_77.0_RA_307.2,0,FALSE,FALSE,FALSE,32,19.20471128
681,9.569524765,12.83449479,32.29858805,122.9073979,-30.57315478,FALSE,TRUE,FALSE,TRUE,FALSE,-1.275468539,-1.84872434,DEC_31.0_32.0/DEC_31.5_RA_13.0,0,FALSE,FALSE,FALSE,10,19.26134
682,9.567702293,142.6774134,-20.33061675,251.921346,22.08461048,FALSE,TRUE,FALSE,FALSE,TRUE,-3.221992203,-1.445226722,DEC_-21.0_-20.0/DEC_-20.6_RA_141.8,0,FALSE,FALSE,FALSE,13,19.33835069
683,9.565347672,129.6149458,43.06474695,177.8763088,37.16199776,FALSE,TRUE,FALSE,TRUE,FALSE,0.006035021,-0.034587558,DEC_43.0_44.0/DEC_43.6_RA_129.7,0,FALSE,FALSE,FALSE,5,18.9578826
684,9.564758301,207.1829422,-41.37000724,314.3440158,20.22865662,FALSE,FALSE,FALSE,FALSE,TRUE,-1.427850776,-1.682695954,DEC_-41.0_-40.0/DEC_-40.6_RA_207.4,0,FALSE,FALSE,FALSE,27,19.17207391
685,9.562398911,58.54664911,2.804529925,186.0876731,-36.77459572,FALSE,TRUE,TRUE,FALSE,FALSE,-0.378591839,0.020378839,DEC_2.0_3.0/DEC_2.3_RA_58.1,0,FALSE,FALSE,FALSE,7,19.10521329
686,9.556854248,136.7397004,12.45004191,216.9076743,35.64556317,FALSE,TRUE,FALSE,TRUE,FALSE,-0.765932193,-3.749109995,DEC_11.0_12.0/DEC_11.6_RA_137.1,0,FALSE,FALSE,FALSE,5,19.7310914
687,9.55524826,312.6970855,1.120867172,48.6599902,-25.7091659,FALSE,TRUE,FALSE,TRUE,FALSE,-1.289642964,-3.706069109,DEC_1.0_2.0/DEC_1.5_RA_312.7,0,FALSE,FALSE,FALSE,23,18.98367661
688,9.551711082,164.0119526,59.48301018,146.4159292,52.06132493,FALSE,TRUE,FALSE,TRUE,FALSE,0.521560499,0.323136475,DEC_59.0_60.0/DEC_59.7_RA_162.7,0,FALSE,FALSE,FALSE,9,19.86411556
689,9.550644875,252.4360391,32.64024534,54.40181643,38.71483005,FALSE,TRUE,FALSE,TRUE,FALSE,-1.378243153,-2.655892748,DEC_32.0_33.0/DEC_32.7_RA_251.8,0,FALSE,FALSE,FALSE,7,19.52942914
690,9.550569534,310.1115137,-11.13925983,35.0935317,-29.20568383,FALSE,TRUE,FALSE,TRUE,FALSE,4.131148069,-3.499082597,DEC_-11.0_-10.0/DEC_-10.5_RA_309.9,0,FALSE,FALSE,FALSE,13,19.79720708
691,9.547878265,325.0867035,-16.91122772,35.70481942,-44.82243998,FALSE,TRUE,FALSE,FALSE,FALSE,1.153741226,-0.630344216,DEC_-17.0_-16.0/DEC_-16.5_RA_325.5,0,FALSE,FALSE,FALSE,11,19.60079727
692,9.546198845,359.1215177,-33.75986602,0.318613028,-76.444116,FALSE,FALSE,FALSE,TRUE,FALSE,0.167949785,-0.498528473,DEC_-34.0_-33.0/DEC_-34.0_RA_359.3,0,FALSE,FALSE,FALSE,6,20.126674
693,9.544628143,191.9471162,-24.03638665,301.862317,38.82778161,FALSE,TRUE,FALSE,FALSE,TRUE,-1.849331111,-3.399608089,DEC_-24.0_-23.0/DEC_-23.2_RA_191.7,0,FALSE,FALSE,FALSE,6,19.63468983
694,9.54176712,221.1647015,5.329294556,359.0473248,55.33990859,FALSE,TRUE,FALSE,TRUE,FALSE,-3.773175094,0.117685883,DEC_6.0_7.0/DEC_6.1_RA_220.8,0,FALSE,FALSE,FALSE,6,19.7328495
695,9.540854454,239.0754869,-19.98850822,351.4092046,25.01488625,FALSE,TRUE,TRUE,FALSE,TRUE,-1.637733779,-3.244748211,DEC_-21.0_-20.0/DEC_-20.9_RA_238.4,0,FALSE,FALSE,FALSE,11,19.46385791
696,9.540764809,160.0833665,-17.03820775,263.4068216,35.58039223,FALSE,TRUE,FALSE,FALSE,TRUE,-1.012247806,-1.945737294,DEC_-17.0_-16.0/DEC_-17.0_RA_159.4,0,FALSE,FALSE,FALSE,19,18.89713779
697,9.540194511,36.41407114,9.22898804,158.318646,-47.06629147,FALSE,TRUE,FALSE,TRUE,FALSE,2.335533232,-3.27283496,DEC_9.0_10.0/DEC_9.3_RA_36.4,0,FALSE,FALSE,FALSE,5,19.3918922
698,9.539996147,162.0437677,-16.09680097,264.6224234,37.44115859,FALSE,TRUE,FALSE,FALSE,TRUE,-0.926645653,-1.303878429,DEC_-17.0_-16.0/DEC_-16.0_RA_163.0,0,FALSE,FALSE,FALSE,7,18.79454243
699,9.539848328,228.8320196,61.54193108,98.16187262,48.08214933,FALSE,TRUE,FALSE,TRUE,FALSE,-2.445715563,-1.973194609,DEC_61.0_62.0/DEC_61.5_RA_229.3,0,FALSE,FALSE,FALSE,5,19.2202762
700,9.53808403,275.7690933,59.57371159,88.71125746,26.66803267,FALSE,TRUE,FALSE,TRUE,FALSE,-2.310066148,1.48394429,DEC_58.0_59.0/DEC_58.9_RA_275.3,0,FALSE,FALSE,FALSE,9,18.91360656
701,9.536831856,206.6036797,35.90467654,73.2232936,75.38644699,FALSE,TRUE,FALSE,TRUE,FALSE,-1.858489763,-3.373125239,DEC_36.0_37.0/DEC_36.6_RA_206.8,0,FALSE,FALSE,FALSE,6,19.74644467
702,9.5352211,145.0488969,69.61596451,142.4612724,39.46565989,FALSE,TRUE,FALSE,TRUE,FALSE,-0.132294637,-0.119462922,DEC_68.0_69.0/DEC_68.8_RA_143.1,0,FALSE,FALSE,FALSE,11,19.41558109
703,9.533084869,314.3465171,-19.0285412,28.32062946,-36.02324852,FALSE,TRUE,FALSE,FALSE,FALSE,-0.249945648,-2.432644423,DEC_-20.0_-19.0/DEC_-19.9_RA_314.1,0,FALSE,FALSE,FALSE,12,18.45002808
704,9.532103539,325.4228093,-18.34375438,33.96955242,-45.63567697,FALSE,TRUE,FALSE,FALSE,FALSE,1.827319278,-1.378635187,DEC_-18.0_-17.0/DEC_-17.7_RA_325.1,0,FALSE,FALSE,FALSE,6,19.57799733
705,9.531632423,157.7595436,-7.554875034,253.4319064,41.44284146,FALSE,TRUE,FALSE,TRUE,TRUE,-3.226643418,-0.185195492,DEC_-7.0_-6.0/DEC_-6.8_RA_157.1,0,FALSE,FALSE,FALSE,6,18.7518305
706,9.531212807,178.3324772,48.13065684,147.3864143,66.14539558,FALSE,TRUE,FALSE,TRUE,FALSE,-0.100842805,0.022998698,DEC_48.0_49.0/DEC_48.9_RA_179.6,0,FALSE,FALSE,FALSE,5,19.926093
707,9.529923439,202.5140634,31.92864599,64.99702646,80.33089976,FALSE,TRUE,FALSE,TRUE,FALSE,-0.221770593,-0.118789103,DEC_32.0_33.0/DEC_32.2_RA_203.2,0,FALSE,FALSE,FALSE,9,19.51477989
708,9.526632309,116.3970935,51.3500663,166.9495558,29.09298269,FALSE,TRUE,FALSE,TRUE,FALSE,0.063480112,-0.725403962,DEC_51.0_52.0/DEC_51.3_RA_116.1,0,FALSE,FALSE,FALSE,14,18.80845493
709,9.523258209,147.5187525,29.09941104,199.121972,50.20682269,FALSE,TRUE,FALSE,TRUE,FALSE,0.253109511,0.071397185,DEC_28.0_29.0/DEC_28.8_RA_147.0,0,FALSE,FALSE,FALSE,6,19.30278667
710,9.52283287,335.5164249,-3.795164487,59.51094039,-47.40754781,FALSE,TRUE,FALSE,TRUE,FALSE,-0.265967416,-2.574194952,DEC_-4.0_-3.0/DEC_-3.1_RA_335.0,0,FALSE,FALSE,FALSE,5,19.1818088
711,9.52231884,153.915235,10.21198621,230.1107706,49.64716969,FALSE,TRUE,FALSE,TRUE,FALSE,0.371378511,-2.369850568,DEC_9.0_10.0/DEC_9.4_RA_154.4,0,FALSE,FALSE,FALSE,6,19.1155925
712,9.522205353,27.25192527,85.77096051,124.0731554,23.02738598,FALSE,TRUE,FALSE,FALSE,FALSE,-0.953538082,0.833609115,DEC_86.0_87.0/DEC_86.6_RA_31.2,0,FALSE,FALSE,FALSE,66,19.4667812
713,9.520715714,245.5637434,79.51239378,112.9748421,33.12898582,FALSE,TRUE,FALSE,TRUE,FALSE,-0.317145254,-1.575733773,DEC_79.0_80.0/DEC_79.8_RA_246.5,0,FALSE,FALSE,FALSE,18,18.63620022
714,9.520295143,177.8710787,56.94544587,138.5182661,58.33162196,FALSE,TRUE,FALSE,TRUE,FALSE,-0.007449012,0.05342762,DEC_56.0_57.0/DEC_56.6_RA_177.7,0,FALSE,FALSE,FALSE,5,19.5238858
715,9.517731667,289.6181067,63.48123751,94.54016456,21.17658269,FALSE,TRUE,FALSE,TRUE,FALSE,-2.113196719,-2.532955475,DEC_62.0_63.0/DEC_62.8_RA_288.5,0,FALSE,FALSE,FALSE,19,19.318261
716,9.516687393,350.1571755,-5.415725424,73.99824032,-59.36214684,FALSE,TRUE,FALSE,TRUE,FALSE,-0.091367284,0.075564792,DEC_-5.0_-4.0/DEC_-4.8_RA_349.5,0,FALSE,FALSE,FALSE,7,18.86363357
717,9.516645432,201.6414575,55.73588205,112.8166653,60.69714588,FALSE,TRUE,FALSE,TRUE,FALSE,-3.956030334,-3.395734062,DEC_55.0_56.0/DEC_55.8_RA_202.7,0,FALSE,FALSE,FALSE,5,18.6085974
