ID,significance,RA,DEC,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,DELVE_FOOTPRINT,DECALS_FOOTPRINT,EBV_FLAG,GOLD_STANDARD,RR_LYRAE
23,9.615543365,353.7218026,5.502997327,90.52863339,-52.4854408,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
24,9.871609688,353.4405383,-23.04281289,41.7339506,-71.96536558,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
25,9.11697197,353.2363865,-3.624082525,80.94369002,-59.93365466,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
26,10.37683582,353.0803188,-28.99814184,22.18817945,-72.46708828,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,9.073187828,352.9469503,-20.15659148,49.60958577,-70.50249463,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
28,9.034417152,352.9119079,-20.1001887,49.72148013,-70.44896535,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29,13.34112453,352.6141345,-25.07061174,34.83013693,-71.72301239,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,9.306750298,352.4057793,-26.04692338,31.66266848,-71.69741044,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
31,9.146284103,352.2712133,-2.444477826,80.80910287,-58.41193554,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
32,10.52175903,352.2657511,4.993108563,88.05299286,-52.21052572,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
33,9.375934601,352.1118472,-23.16210815,40.27640569,-70.82877099,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
34,11.13494396,352.0459506,-30.99312348,15.96854623,-71.43062761,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,10.00776196,351.8639592,-26.48579038,30.09647236,-71.27155636,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,9.442613602,351.8111071,-5.110630821,76.86008689,-60.21810898,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
37,14.26575947,351.6019881,-32.61787946,11.18780256,-70.80578201,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,10.5349474,351.4552103,6.843338836,88.44912065,-50.20759425,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
39,10.13366795,351.0402901,-22.56431706,41.12315294,-69.71047474,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
40,9.192850113,351.0166986,-25.4325634,32.93662582,-70.36633353,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,11.34914589,350.9608259,-23.12671518,39.50555176,-69.80210314,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
42,9.211893082,350.9223262,-26.82000396,28.80015242,-70.4718174,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,11.32268715,350.8648821,-23.14890596,39.37386327,-69.72335471,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
44,11.0778923,350.4351382,-23.79350263,37.29328479,-69.50935336,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
45,9.00631237,350.3729708,-4.989792821,74.86876149,-59.18951708,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
46,11.87877274,350.3707049,-29.68166735,20.26700439,-70.08647873,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
47,9.181783676,350.3637509,-24.45350793,35.41140645,-69.59710383,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
48,9.219875336,349.484108,16.65777359,92.84710325,-40.68870284,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
49,12.8498621,349.2006117,-34.19031541,7.951649234,-68.5189314,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,9.963980675,348.9415817,-25.37996921,32.17040123,-68.51055821,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
51,10.1886673,348.8995022,-25.3362081,32.26991992,-68.46551155,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,15.32985973,348.7580589,-19.97030619,45.73866777,-66.82193991,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
53,11.27376747,348.3025131,-24.33321433,34.62344876,-67.73796479,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
54,12.71285534,347.9972605,-29.00621979,22.19399046,-68.02177511,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,10.02209949,347.786931,-13.26446568,58.5518703,-62.77835143,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
56,11.35230637,347.4126003,-15.59901887,53.7383968,-63.72246378,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
57,9.369654655,347.2451539,-11.37110936,61.1712771,-61.24374033,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
58,9.726704597,346.9663038,-32.50119869,13.18027411,-66.96318213,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,10.3064537,346.811227,-20.03185405,43.90924467,-65.14955402,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
60,9.367101669,346.7748357,-17.86825448,48.51499129,-64.24911039,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
61,9.965093613,346.5006144,-25.19095568,31.63529153,-66.30494883,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
