,SIGNIFICANCE,RA,DEC,l,b,DES_FOOTPRINT,PS1_FOOTPRINT,DELVE_FOOTPRINT,DECALS_FOOTPRINT,EBV_FLAG,PMRA,PMDEC,RR_LYRAE,NSTARS,MAG_AVG,MAG_MAX
667,11.60101032,192.0642663,55.06313309,123.9038467,62.05911624,FALSE,TRUE,FALSE,TRUE,FALSE,-0.168558006,-0.422933121,FALSE,10,20.1572587,19.566135
668,11.60091686,111.1813451,39.41208122,179.0133468,22.89358312,FALSE,TRUE,FALSE,TRUE,FALSE,-0.13895239,-0.930787531,FALSE,318,19.09043539,12.7421
669,11.60011864,149.4470898,7.524137519,230.2041883,44.47935698,FALSE,TRUE,FALSE,TRUE,FALSE,0.002145431,0.277330616,FALSE,8,19.085181,17.661385
670,11.59863472,47.45160845,34.71895646,152.7132054,-20.02928064,FALSE,TRUE,FALSE,FALSE,FALSE,-0.073827558,-0.622662767,FALSE,156,19.09557412,14.940912
671,11.5980196,82.84605694,-7.743728746,210.7966584,-21.30007588,FALSE,TRUE,FALSE,FALSE,FALSE,0.081345735,0.055572481,FALSE,4553,19.28764227,14.963004
672,11.59790421,179.3782467,33.54016286,180.77766,76.73152764,FALSE,TRUE,FALSE,TRUE,FALSE,-0.190050897,-0.016330928,FALSE,11,19.568844,18.774378
673,11.5963068,183.5704384,45.80056838,142.0673399,69.92243044,FALSE,TRUE,FALSE,TRUE,FALSE,-0.028803429,-0.130928435,FALSE,8,19.99193825,18.746014
674,11.59533787,158.4599333,60.90049683,147.7301639,49.07435905,FALSE,TRUE,FALSE,TRUE,FALSE,-0.024384575,-0.309926055,FALSE,21,19.69227281,17.474596
675,11.59279251,170.1325081,50.59675208,153.170041,60.85794626,FALSE,TRUE,FALSE,TRUE,FALSE,0.315782891,-0.082381977,FALSE,10,20.0114338,19.472797
676,11.59123421,22.85487593,-31.33454943,241.0618531,-80.32203407,FALSE,FALSE,TRUE,TRUE,FALSE,0.051673988,-0.070223098,FALSE,108,19.90962853,15.288775
678,11.58884525,214.8985939,50.78421602,93.60581548,61.0277506,FALSE,TRUE,FALSE,TRUE,FALSE,0.116667592,0.13885345,FALSE,7,19.31339771,18.076681
679,11.58760166,114.6027537,25.06663139,194.6494506,20.93225197,FALSE,TRUE,FALSE,TRUE,FALSE,-0.283054565,-0.827422368,FALSE,4088,19.18646714,14.160014
680,11.58580875,195.8182547,36.56534079,108.7826727,80.23555375,FALSE,TRUE,FALSE,TRUE,FALSE,-0.024252969,-0.081220696,FALSE,19,19.61189816,17.476587
681,11.5857296,209.0141093,66.7500784,113.265808,49.14770959,FALSE,TRUE,FALSE,TRUE,FALSE,-0.242253537,0.038634485,FALSE,9,19.77068144,18.110243
683,11.58332348,173.8143389,13.81020639,245.9743669,67.7890441,FALSE,TRUE,FALSE,TRUE,FALSE,-0.010123366,-0.051803229,FALSE,13,19.50608823,18.162766
684,11.58294678,32.10364021,40.26475264,138.4836217,-20.27098118,FALSE,TRUE,FALSE,FALSE,FALSE,-0.360646236,-0.545624435,FALSE,2841,19.0647331,14.180658
685,11.58270645,82.1351555,-6.000824429,208.785444,-21.15460817,FALSE,TRUE,FALSE,FALSE,FALSE,0.209430891,-0.046986895,FALSE,2056,19.29590331,14.787031
686,11.58055687,55.49124771,27.52869905,163.206583,-21.70920826,FALSE,TRUE,FALSE,FALSE,FALSE,0.068762477,-0.859165744,TRUE,4613,19.09778011,13.123264
688,11.57949829,208.9314098,49.99255327,98.94572371,64.03539284,FALSE,TRUE,FALSE,TRUE,FALSE,0.037941344,-0.110811438,FALSE,7,19.83652186,19.070648
689,11.57944393,110.8087928,68.0572915,147.7045547,27.96582819,FALSE,TRUE,FALSE,TRUE,FALSE,0.154516246,-0.127980636,FALSE,99,19.662989,16.090841
690,11.57525158,71.04508267,9.446799999,188.3646211,-22.82825993,FALSE,TRUE,FALSE,FALSE,TRUE,0.596193951,-0.302928376,FALSE,617,19.29523996,14.744155
691,11.57334137,213.3798308,23.42992296,26.20171107,71.10294298,FALSE,TRUE,FALSE,TRUE,FALSE,0.007678515,0.140890551,FALSE,24,19.81462963,18.248373
692,11.57272053,186.1799699,15.84084652,272.7956197,77.12182393,FALSE,TRUE,FALSE,TRUE,FALSE,-0.119565196,-0.090518858,FALSE,9,19.71432511,18.890066
693,11.57209587,354.2150231,11.91613283,95.64959025,-46.96682482,FALSE,TRUE,FALSE,TRUE,FALSE,1.0257949,-2.047948215,FALSE,9,19.56930622,16.78119
694,11.57077599,31.12441141,84.78255282,124.6954267,22.16284508,FALSE,TRUE,FALSE,FALSE,FALSE,-0.174869266,0.646874964,FALSE,98,19.38276693,14.362009
